clip_id,tempo,energy,danceability,acousticness,valence,duration_sec,genre
audio_071,143,0.22793516254194168,0.26520236768172545,0.9548652806631941,0.057558760016644284,154,Electronic
audio_029,119,0.3308980248526492,0.9246936182785628,0.375582952639944,0.628942846779884,268,Pop
audio_010,142,0.3567533266935893,0.5357746840747585,0.5183296523637367,0.5456167893159349,224,Hip-Hop
audio_015,176,0.07455064367977082,0.040775141554763916,0.35949115121975517,0.19579113478929644,232,Classical
audio_094,77,0.5026790232288615,0.9666548190436696,0.04530400977204452,0.7533781852589416,146,Classical
audio_069,112,0.3180034749718639,0.09367476782809248,0.6601973767177313,0.09120610304869037,260,Rock
audio_058,80,0.16122128725400442,0.6918951976926933,0.07845638134226596,0.9500619670508049,209,Electronic
audio_025,89,0.3584657285442726,0.9367299887367345,0.7019668772577033,0.8144684825889358,279,Jazz
audio_006,131,0.32533033076326434,0.7282163486118596,0.09717649377076854,0.575474177875879,177,Hip-Hop
audio_060,98,0.808120379564417,0.22426930946055978,0.9626484146779251,0.5734378881232861,179,Pop
audio_059,132,0.9296976523425731,0.6519612595026005,0.02535074341545751,0.9506071469375561,255,Pop
audio_043,139,0.5227328293819941,0.7259556788702394,0.7699935530986108,0.8584127518430118,173,Hip-Hop
audio_044,74,0.42754101835854963,0.8971102599525771,0.21582102749684318,0.42899402737501835,237,Electronic
audio_018,83,0.1987156815341724,0.016587828927856152,0.8101133946791808,0.018221825651549728,280,Electronic
audio_096,103,0.27864646423661144,0.8530094554673601,0.6258599157142364,0.08350071669866876,280,Classical
audio_030,80,0.06355835028602363,0.877339353380981,0.093981939840869,0.877472013527053,199,Jazz
audio_074,119,0.8607305832563434,0.3930977246667604,0.6117207462343522,0.8877041827582998,234,Rock
audio_062,63,0.8714605901877177,0.23724908749680007,0.695974206093698,0.44844552197831977,147,Electronic
audio_064,119,0.18657005888603584,0.7464914051180241,0.17329432007084578,0.32866454536991596,160,Classical
audio_086,61,0.9717820827209607,0.17711067940704894,0.09783416065100148,0.08134878064189976,265,Electronic
audio_005,166,0.045227288910538066,0.23763754399239967,0.570061170089365,0.9402302414249576,245,Hip-Hop
audio_066,173,0.5393422419156507,0.8492234104941779,0.25024289816459533,0.75237452943768,264,Jazz
audio_080,137,0.33761517140362796,0.4925176938188639,0.11607264050691624,0.10112267612279024,228,Pop
audio_027,61,0.8631034258755935,0.3410663510502585,0.8900053418175663,0.11816482762165625,180,Rock
audio_098,133,0.23956189066697242,0.38509772860192526,0.8564898411883223,0.558404249735805,224,Jazz
audio_024,167,0.07404465173409036,0.3867353463005374,0.6499639307777652,0.023271935735825866,292,Hip-Hop
audio_013,134,0.14092422497476265,0.32078006497173583,0.697015740995268,0.9611905638239142,250,Pop
audio_001,162,0.5978999788110851,0.9856504541106007,0.1694927466860925,0.07056874740042984,158,Hip-Hop
audio_051,114,0.907566473926093,0.6064290596595899,0.7260913337226615,0.32004960103061175,271,Electronic
audio_067,68,0.8074401551640625,0.6576128923003434,0.5492266647061205,0.7915790437258485,280,Rock
audio_038,150,0.713244787222995,0.8972157579533268,0.03734818874921442,0.4126176769114265,133,Pop
audio_046,121,0.10789142699330445,0.7798755458576239,0.085347464993768,0.7545428740846823,263,Classical
audio_048,121,0.6364104112637804,0.08413996499504883,0.531354631568148,0.9025529066795667,193,Rock
audio_011,146,0.28093450968738076,0.0902897700544083,0.8773730719279554,0.9414648087765252,286,Hip-Hop
audio_045,121,0.02541912674409519,0.8870864242651173,0.6228904758190003,0.7508710677914974,122,Electronic
audio_065,73,0.8925589984899778,0.6496328990472147,0.15643704267108605,0.6725184560770384,274,Pop
audio_033,117,0.7296061783380641,0.8172222002012158,0.46559801813246016,0.2820345725713065,266,Pop
audio_068,149,0.8960912999234932,0.5683086033354716,0.7145959227000623,0.7896181427945539,276,Electronic
audio_057,66,0.289751452913768,0.5487337893665861,0.4389714207056361,0.31931363759041487,283,Pop
audio_084,163,0.7030189588951778,0.02431596643145384,0.7036578593800237,0.8218600592903562,237,Hip-Hop
audio_041,151,0.770967179954561,0.3390297910487007,0.12706051265188478,0.34080354025301784,120,Electronic
audio_032,135,0.32518332202674705,0.659984046034179,0.035942273796742086,0.8034809303848486,283,Pop
audio_028,123,0.6232981268275579,0.11347352124058907,0.3379951568515358,0.6967371653641506,166,Rock
audio_095,149,0.05147875124998935,0.9636199770892528,0.3746126146264712,0.37625958553091576,296,Rock
